candidate_id,R1,R2,R3,ligand_smiles
P_0092,Et,iPr,iPr,P(CC)(C(C)C)C(C)C
P_0093,Et,iPr,tBu,P(CC)(C(C)C)C(C)(C)C
P_0094,Et,iPr,Cy,P(CC)(C(C)C)C1CCCCC1
P_0095,Et,iPr,Ph,P(CC)(C(C)C)c1ccccc1
P_0096,Et,iPr,pMePh,P(CC)(C(C)C)c1ccc(C)cc1
P_0097,Et,iPr,pOMePh,P(CC)(C(C)C)c1ccc(OC)cc1
P_0098,Et,iPr,pFPh,P(CC)(C(C)C)c1ccc(F)cc1
P_0099,Et,iPr,pClPh,P(CC)(C(C)C)c1ccc(Cl)cc1
P_0100,Et,iPr,pCF3Ph,P(CC)(C(C)C)c1ccc(C(F)(F)F)cc1
P_0101,Et,iPr,pCNPh,P(CC)(C(C)C)c1ccc(C#N)cc1
P_0102,Et,tBu,tBu,P(CC)(C(C)(C)C)C(C)(C)C
P_0103,Et,tBu,Cy,P(CC)(C(C)(C)C)C1CCCCC1
P_0104,Et,tBu,Ph,P(CC)(C(C)(C)C)c1ccccc1
P_0105,Et,tBu,pMePh,P(CC)(C(C)(C)C)c1ccc(C)cc1
P_0106,Et,tBu,pOMePh,P(CC)(C(C)(C)C)c1ccc(OC)cc1
P_0107,Et,tBu,pFPh,P(CC)(C(C)(C)C)c1ccc(F)cc1
P_0108,Et,tBu,pClPh,P(CC)(C(C)(C)C)c1ccc(Cl)cc1
P_0109,Et,tBu,pCF3Ph,P(CC)(C(C)(C)C)c1ccc(C(F)(F)F)cc1
P_0110,Et,tBu,pCNPh,P(CC)(C(C)(C)C)c1ccc(C#N)cc1
P_0111,Et,Cy,Cy,P(CC)(C1CCCCC1)C1CCCCC1
P_0112,Et,Cy,Ph,P(CC)(C1CCCCC1)c1ccccc1
P_0113,Et,Cy,pMePh,P(CC)(C1CCCCC1)c1ccc(C)cc1
P_0114,Et,Cy,pOMePh,P(CC)(C1CCCCC1)c1ccc(OC)cc1
P_0115,Et,Cy,pFPh,P(CC)(C1CCCCC1)c1ccc(F)cc1
P_0116,Et,Cy,pClPh,P(CC)(C1CCCCC1)c1ccc(Cl)cc1
P_0117,Et,Cy,pCF3Ph,P(CC)(C1CCCCC1)c1ccc(C(F)(F)F)cc1
P_0118,Et,Cy,pCNPh,P(CC)(C1CCCCC1)c1ccc(C#N)cc1
P_0119,Et,Ph,Ph,P(CC)(c1ccccc1)c1ccccc1
P_0120,Et,Ph,pMePh,P(CC)(c1ccccc1)c1ccc(C)cc1
P_0121,Et,Ph,pOMePh,P(CC)(c1ccccc1)c1ccc(OC)cc1
P_0122,Et,Ph,pFPh,P(CC)(c1ccccc1)c1ccc(F)cc1
P_0123,Et,Ph,pClPh,P(CC)(c1ccccc1)c1ccc(Cl)cc1
P_0124,Et,Ph,pCF3Ph,P(CC)(c1ccccc1)c1ccc(C(F)(F)F)cc1
P_0125,Et,Ph,pCNPh,P(CC)(c1ccccc1)c1ccc(C#N)cc1
P_0126,Et,pMePh,pMePh,P(CC)(c1ccc(C)cc1)c1ccc(C)cc1
P_0127,Et,pMePh,pOMePh,P(CC)(c1ccc(C)cc1)c1ccc(OC)cc1
P_0128,Et,pMePh,pFPh,P(CC)(c1ccc(C)cc1)c1ccc(F)cc1
P_0129,Et,pMePh,pClPh,P(CC)(c1ccc(C)cc1)c1ccc(Cl)cc1
P_0130,Et,pMePh,pCF3Ph,P(CC)(c1ccc(C)cc1)c1ccc(C(F)(F)F)cc1
P_0131,Et,pMePh,pCNPh,P(CC)(c1ccc(C)cc1)c1ccc(C#N)cc1
P_0132,Et,pOMePh,pOMePh,P(CC)(c1ccc(OC)cc1)c1ccc(OC)cc1
P_0133,Et,pOMePh,pFPh,P(CC)(c1ccc(OC)cc1)c1ccc(F)cc1
P_0134,Et,pOMePh,pClPh,P(CC)(c1ccc(OC)cc1)c1ccc(Cl)cc1
P_0135,Et,pOMePh,pCF3Ph,P(CC)(c1ccc(OC)cc1)c1ccc(C(F)(F)F)cc1
P_0136,Et,pOMePh,pCNPh,P(CC)(c1ccc(OC)cc1)c1ccc(C#N)cc1
P_0137,Et,pFPh,pFPh,P(CC)(c1ccc(F)cc1)c1ccc(F)cc1
P_0138,Et,pFPh,pClPh,P(CC)(c1ccc(F)cc1)c1ccc(Cl)cc1
P_0139,Et,pFPh,pCF3Ph,P(CC)(c1ccc(F)cc1)c1ccc(C(F)(F)F)cc1
P_0140,Et,pFPh,pCNPh,P(CC)(c1ccc(F)cc1)c1ccc(C#N)cc1
P_0141,Et,pClPh,pClPh,P(CC)(c1ccc(Cl)cc1)c1ccc(Cl)cc1
