i,element_i,j,element_j,distance_A
28,H,34,H,3.496942
36,H,42,H,3.501000
18,C,37,H,3.503655
18,C,31,C,3.507848
4,O,24,H,3.555475
11,H,13,H,3.567212
24,H,40,H,3.576381
18,C,30,H,3.581145
28,H,32,H,3.584215
22,H,37,H,3.591058
16,H,32,H,3.612049
1,Co,20,C,3.627616
37,H,40,H,3.660847
4,O,42,H,3.665542
19,C,39,C,3.682065
19,C,40,H,3.699689
18,C,40,H,3.711038
11,H,16,H,3.711469
18,C,34,H,3.731836
18,C,36,H,3.736134
18,C,33,H,3.742219
24,H,39,C,3.748546
4,O,36,H,3.754997
22,H,28,H,3.772864
2,P,23,H,3.788058
1,Co,35,C,3.800316
1,Co,21,H,3.810800
1,Co,27,C,3.814368
25,H,40,H,3.828185
18,C,29,H,3.841172
4,O,35,C,3.847870
22,H,30,H,3.858251
4,O,22,H,3.866807
21,H,26,H,3.869173
5,O,27,C,3.869793
5,O,22,H,3.871563
22,H,36,H,3.877499
1,Co,36,H,3.877693
21,H,34,H,3.880361
21,H,37,H,3.887081
1,Co,41,H,3.901077
1,Co,32,H,3.909655
13,H,40,H,3.916082
18,C,39,C,3.916950
21,H,31,C,3.926856
2,P,20,C,3.928812
1,Co,29,H,3.942131
6,C,10,C,3.956640
8,C,9,C,3.956640
4,O,38,H,3.985110
2,P,40,H,3.990177
25,H,42,H,3.999762
19,C,28,H,3.999862
5,O,40,H,4.037834
2,P,4,O,4.039432
21,H,29,H,4.040718
36,H,41,H,4.057696
8,C,33,H,4.059569
3,P,5,O,4.060000
18,C,41,H,4.062339
8,C,32,H,4.067542
23,H,28,H,4.068489
2,P,8,C,4.077878
7,C,40,H,4.084507
3,P,6,C,4.093092
23,H,38,H,4.093238
19,C,41,H,4.096596
16,H,29,H,4.096694
22,H,38,H,4.100988
21,H,35,C,4.111861
4,O,41,H,4.124815
9,C,40,H,4.127917
13,H,42,H,4.128172
22,H,32,H,4.151253
22,H,29,H,4.160637
1,Co,26,H,4.164553
5,O,18,C,4.188019
24,H,28,H,4.196201
6,C,15,H,4.212481
8,C,12,H,4.212481
1,Co,23,H,4.219976
1,Co,42,H,4.223186
19,C,27,C,4.224441
1,Co,34,H,4.229728
4,O,19,C,4.247046
1,Co,9,C,4.251176
1,Co,10,C,4.251176
3,P,33,H,4.252634
22,H,42,H,4.257769
8,C,31,C,4.283398
1,Co,28,H,4.288706
28,H,33,H,4.292295
6,C,39,C,4.294764
6,C,17,H,4.299491
8,C,14,H,4.299491
10,C,32,H,4.319016
4,O,20,C,4.320752
4,O,18,C,4.323644
1,Co,38,H,4.328117
33,H,40,H,4.337626
5,O,34,H,4.338030
5,O,24,H,4.343432
21,H,33,H,4.346815
16,H,31,C,4.348850
8,C,29,H,4.369199
18,C,38,H,4.378767
4,O,10,C,4.378972
5,O,9,C,4.378972
2,P,25,H,4.394742
21,H,36,H,4.397056
18,C,32,H,4.399432
16,H,33,H,4.401375
24,H,41,H,4.409184
4,O,26,H,4.411961
24,H,27,C,4.415190
13,H,39,C,4.458139
6,C,42,H,4.482165
1,Co,25,H,4.500022
24,H,42,H,4.508614
1,Co,13,H,4.524655
1,Co,16,H,4.524655
5,O,28,H,4.527372
14,H,40,H,4.532530
23,H,27,C,4.533586
